central_abasto,estado,ciudad,coordenadas
Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,Aguascalientes,Aguascalientes,"21.91350375264395, -102.29531720470844"
"Baja California : Central de Abasto INDIA, Tijuana",Baja California ,Tijuana,"32.49474400026095, -116.94692024909172"
Baja California Sur: Unión de Comerciantes de La Paz,Baja California Sur,La Paz,"24.1271092193078, -110.3307038550387"
"Campeche: Mercado ""Pedro Sáinz de Baranda"", Campeche",Campeche,Campeche,"19.84188527351779, -90.53320367292051"
Chiapas: Central de Abasto de Tuxtla Gutiérrez,Chiapas,Tuxtla Gutiérrez,"16.74342132425459, -93.06736080161691"
Chihuahua: Centra de Abasto de Chihuahua,Chihuahua,Chihuahua,"28.633792058657423, -106.02265834854359"
Chihuahua: Mercado de Abasto de Cd. Juárez,Chihuahua,Ciudad Juárez,"31.618467349649304, -106.43897658287689"
"Coahuila: Central de Abasto de La Laguna, Torreón",Coahuila,Torreón,"25.552699389534492, -103.42658152314198"
Colima: Centros de distribución de Colima,Colima,Colima,"19.24092986885469, -103.72211424574733"
DF: Central de Abasto de Iztapalapa DF,DF,Iztapalapa,"19.37902097709366, -99.08788770341542"
"Durango: Central de Abasto ""Francisco Villa""",Durango,Durango,"24.038380681157346, -104.63030213584248"
Durango: Centro de Distribución y Abasto de Gómez Palacio,Durango,Gómez Palacio,"25.56424214821697, -103.4784960744356"
Guanajuato: Central de Abasto de León,Guanajuato,León,"21.07160912889384, -101.68418648988614"
"Guanajuato: Mercado de Abasto de Celaya (""Benito Juárez"")",Guanajuato,Celaya,"20.512110834888524, -100.80710541873376"
Guanajuato: Módulo de Abasto Irapuato,Guanajuato,Irapuato,"20.64586438151439, -101.34552042719656"
Guerrero: Central de Abastos de Acapulco,Guerrero,Acapulco,"16.907536500667252, -99.82665406302172"
Hidalgo: Central de Abasto de Pachuca,Hidalgo,Pachuca,"20.105167961561673, -98.75222400155201"
Jalisco: Mercado de Abasto de Guadalajara,Jalisco,Guadalajara,"20.656438978529835, -103.38199954873981"
Jalisco: Mercado Felipe Ángeles de Guadalajara,Jalisco,Guadalajara,"20.672646348157883, -103.3020944935917"
México: Central de Abasto de Ecatepec,México,Ecatepec de Morelos,"19.615973455908208, -99.0037830494365"
México: Central de Abasto de Toluca,México,Toluca,"19.344192571914714, -99.59941224219426"
Michoacán: Mercado de Abasto de Morelia,Michoacán,Morelia,"19.716394739405875, -101.1675941644991"
Morelos: Central de Abasto de Cuautla,Morelos,Cuautla,"18.86803720530307, -98.93080980000605"
"Morelos: Mercado ""Adolfo López Mateos"" de  Cuernavaca",Morelos,Cuernavaca,"18.92588394542484, -99.23232118993099"
Nayarit: Mercado de abasto 'Adolfo López Mateos' de Tepic,Nayarit,Tepic,"21.522155401088778, -104.89939880336972"
Nayarit: Nayarabastos de Tepic,Nayarit,Tepic,"21.475106929976683, -104.8578806783165"
"Nuevo León: Mercado de Abasto ""Estrella"" de San Nicolás de los Garza",Nuevo León,San Nicolás de los Garza,"25.712082350608664, -100.29374657628011"
Oaxaca: Módulo de Abasto de Oaxaca,Oaxaca,Oaxaca,"17.059371798231126, -96.73331077229595"
Puebla: Central de Abasto de Puebla,Puebla,Puebla,"19.086742782672502, -98.18937511373163"
Querétaro: Mercado de Abasto de Querétaro,Querétaro,Querétaro,"20.57002041039554, -100.37593640392917"
"Quintana Roo: Mercado de Chetumal, Quintana Roo",Quintana Roo,Chetumal,"18.50352489991703, -88.29692469366324"
Quintana Roo: Módulo de Abasto Cancún,Quintana Roo,Cancún,"21.140561846034238, -86.89530956966328"
San Luis Potosí: Centro de Abasto de San Luis Potosí,San Luis Potosí,San Luis Potosí,"22.141187217276954, -100.9222457191597"
Sinaloa: Central de Abasto de Culiacán,Sinaloa,Culiacán,"24.771112750755233, -107.36596175541744"
Sonora: Central de Abasto de Cd. Obregón,Sonora,Ciudad Obregón,"27.470549959630194, -109.9184882040009"
"Sonora: Mercado de Abasto ""Francisco I. Madero"" de Hermosillo",Sonora,Hermosilla,"29.113207302301678, -110.99389547433611"
Tabasco: Central de Abasto de Villahermosa,Tabasco,Villahermosa,"17.991736396134936, -92.96622739364594"
Tamaulipas: Módulo de Abasto de Reynosa,Tamaulipas,Reynosa,"26.044514401583342, -98.31468258791637"
"Tamaulipas: Módulo de Abasto de Tampico, Madero y Altamira",Tamaulipas,Altamira,"22.337257258480157, -97.88450820041619"
Veracruz: Central de Abasto de Jalapa,Veracruz,Xalapa,"19.515594449435063, -96.85370727436812"
Veracruz: Central de Abasto de Minatitlán,Veracruz,Minatitlán,"17.99457819985607, -94.57320314740221"
Veracruz: Mercado Malibrán,Veracruz,Veracruz,"19.160080187046834, -96.13887130505627"
Yucatán: Central de Abasto de Mérida,Yucatán,Mérida,"20.986088896233536, -89.66443971018552"
Yucatán: Centro Mayorista Oxkutzcab,Yucatán,Oxkutzcab,"20.302505180297356, -89.41947301712938"
"Yucatán: Mercado ""Casa del Pueblo""",Yucatán,Mérida,"20.961928986041514, -89.61605684550987"
Zacatecas: Mercado de Abasto de Zacatecas,Zacatecas,Zacatecas,"22.772159247783705, -102.59568433198456"
