Fecha,Producto,Calidad,Presentación,Origen,Destino,Precio Mín,Precio Max,Precio Frec
22/04/2021,Aguacate Hass,Primera,Caja de 19 kg.,Aguascalaientes,Michoacán: Mercado de Abasto de Morelia,730,770,770
23/04/2021,Aguacate Hass,Primera,Caja de 19 kg.,Aguascalaientes,Michoacán: Mercado de Abasto de Morelia,730,770,770
26/04/2021,Aguacate Hass,Primera,Caja de 19 kg.,Aguascalaientes,Michoacán: Mercado de Abasto de Morelia,730,770,770
27/04/2021,Aguacate Hass,Primera,Caja de 19 kg.,Aguascalaientes,Michoacán: Mercado de Abasto de Morelia,730,770,770
28/04/2021,Aguacate Hass,Primera,Caja de 19 kg.,Aguascalaientes,Michoacán: Mercado de Abasto de Morelia,750,800,800
29/04/2021,Aguacate Hass,Primera,Caja de 19 kg.,Aguascalaientes,Michoacán: Mercado de Abasto de Morelia,750,800,800
22/04/2021,Guayaba,Primera,Caja de 12 kg.,Aguascalaientes,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,110,120,115
23/04/2021,Guayaba,Primera,Caja de 12 kg.,Aguascalaientes,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,110,120,115
26/04/2021,Guayaba,Primera,Caja de 12 kg.,Aguascalaientes,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,110,120,115
27/04/2021,Guayaba,Primera,Caja de 12 kg.,Aguascalaientes,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,110,120,115
28/04/2021,Guayaba,Primera,Caja de 12 kg.,Aguascalaientes,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,110,120,115
29/04/2021,Guayaba,Primera,Caja de 12 kg.,Aguascalaientes,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,110,120,115
22/04/2021,Guayaba,Primera,Kilogramo,Aguascalaientes,Chihuahua: Central de Abasto de Chihuahua,20,25,25
23/04/2021,Guayaba,Primera,Kilogramo,Aguascalaientes,Chihuahua: Central de Abasto de Chihuahua,20,25,25
26/04/2021,Guayaba,Primera,Kilogramo,Aguascalaientes,Chihuahua: Central de Abasto de Chihuahua,20,25,25
27/04/2021,Guayaba,Primera,Kilogramo,Aguascalaientes,Chihuahua: Central de Abasto de Chihuahua,28,30,28
28/04/2021,Guayaba,Primera,Kilogramo,Aguascalaientes,Chihuahua: Central de Abasto de Chihuahua,28,30,28
29/04/2021,Guayaba,Primera,Kilogramo,Aguascalaientes,Chihuahua: Central de Abasto de Chihuahua,28,30,28
22/04/2021,Brócoli,Primera,Kilogramo,Aguascalaientes,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,8,10,9
23/04/2021,Brócoli,Primera,Kilogramo,Aguascalaientes,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,8,10,9
26/04/2021,Brócoli,Primera,Kilogramo,Aguascalaientes,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,8,10,9
27/04/2021,Brócoli,Primera,Kilogramo,Aguascalaientes,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,8,10,9
28/04/2021,Brócoli,Primera,Kilogramo,Aguascalaientes,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,8,10,9
29/04/2021,Brócoli,Primera,Kilogramo,Aguascalaientes,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,8,10,9
22/04/2021,Calabacita Italiana,Primera,Caja de 15 kg.,Aguascalaientes,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,160,180,170
23/04/2021,Calabacita Italiana,Primera,Caja de 15 kg.,Aguascalaientes,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,160,180,170
26/04/2021,Calabacita Italiana,Primera,Caja de 15 kg.,Aguascalaientes,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,160,180,170
27/04/2021,Calabacita Italiana,Primera,Caja de 15 kg.,Aguascalaientes,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,160,180,170
28/04/2021,Calabacita Italiana,Primera,Caja de 15 kg.,Aguascalaientes,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,160,180,170
29/04/2021,Calabacita Italiana,Primera,Caja de 15 kg.,Aguascalaientes,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,160,180,170
22/04/2021,Col mediana,Primera,Kilogramo,Aguascalaientes,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,4,5,4.5
23/04/2021,Col mediana,Primera,Kilogramo,Aguascalaientes,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,4,5,4.5
26/04/2021,Col mediana,Primera,Kilogramo,Aguascalaientes,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,4,5,4.5
27/04/2021,Col mediana,Primera,Kilogramo,Aguascalaientes,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,4,5,4.5
28/04/2021,Col mediana,Primera,Kilogramo,Aguascalaientes,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,4,5,4.5
29/04/2021,Col mediana,Primera,Kilogramo,Aguascalaientes,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,4,5,4.5
22/04/2021,Coliflor mediana,Primera,Pieza,Aguascalaientes,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,6,8,7
23/04/2021,Coliflor mediana,Primera,Pieza,Aguascalaientes,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,6,8,7
26/04/2021,Coliflor mediana,Primera,Pieza,Aguascalaientes,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,6,8,7
27/04/2021,Coliflor mediana,Primera,Pieza,Aguascalaientes,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,6,8,7
28/04/2021,Coliflor mediana,Primera,Pieza,Aguascalaientes,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,6,8,7
29/04/2021,Coliflor mediana,Primera,Pieza,Aguascalaientes,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,6,8,7
22/04/2021,Chícharo arrugado,Primera,Kilogramo,Aguascalaientes,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,18,20,19
23/04/2021,Chícharo arrugado,Primera,Kilogramo,Aguascalaientes,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,18,20,19
