Fecha,Producto,Calidad,Presentación,Origen,Destino,Precio Mín,Precio Max,Precio Frec,Obs.
22/04/2019,Aguacate Hass,Primera,Caja de 15 kg.,Aguascalientes,Nayarit: Mercado de abasto 'Adolfo López Mateos' de Tepic,808,810,809,
23/04/2019,Aguacate Hass,Primera,Caja de 15 kg.,Aguascalientes,Nayarit: Mercado de abasto 'Adolfo López Mateos' de Tepic,808,810,809,
24/04/2019,Aguacate Hass,Primera,Caja de 15 kg.,Aguascalientes,Nayarit: Mercado de abasto 'Adolfo López Mateos' de Tepic,808,810,809,
25/04/2019,Aguacate Hass,Primera,Caja de 15 kg.,Aguascalientes,Nayarit: Mercado de abasto 'Adolfo López Mateos' de Tepic,808,810,809,
26/04/2019,Aguacate Hass,Primera,Caja de 15 kg.,Aguascalientes,Nayarit: Mercado de abasto 'Adolfo López Mateos' de Tepic,808,810,809,
29/04/2019,Aguacate Hass,Primera,Caja de 15 kg.,Aguascalientes,Nayarit: Mercado de abasto 'Adolfo López Mateos' de Tepic,808,820,809,
22/04/2019,Aguacate Pagua,Primera,Caja de 20 kg.,Aguascalientes,Nayarit: Mercado de abasto 'Adolfo López Mateos' de Tepic,340,360,350,
23/04/2019,Aguacate Pagua,Primera,Caja de 20 kg.,Aguascalientes,Nayarit: Mercado de abasto 'Adolfo López Mateos' de Tepic,340,360,350,
24/04/2019,Aguacate Pagua,Primera,Caja de 20 kg.,Aguascalientes,Nayarit: Mercado de abasto 'Adolfo López Mateos' de Tepic,340,360,350,
25/04/2019,Aguacate Pagua,Primera,Caja de 20 kg.,Aguascalientes,Nayarit: Mercado de abasto 'Adolfo López Mateos' de Tepic,340,360,350,
26/04/2019,Aguacate Pagua,Primera,Caja de 20 kg.,Aguascalientes,Nayarit: Mercado de abasto 'Adolfo López Mateos' de Tepic,340,360,350,
29/04/2019,Aguacate Pagua,Primera,Caja de 20 kg.,Aguascalientes,Nayarit: Mercado de abasto 'Adolfo López Mateos' de Tepic,340,360,350,
22/04/2019,Guayaba,Primera,Caja de 12 kg.,Aguascalientes,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,95,105,100,
23/04/2019,Guayaba,Primera,Caja de 12 kg.,Aguascalientes,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,95,105,100,
24/04/2019,Guayaba,Primera,Caja de 12 kg.,Aguascalientes,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,95,105,100,
25/04/2019,Guayaba,Primera,Caja de 12 kg.,Aguascalientes,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,95,105,100,
26/04/2019,Guayaba,Primera,Caja de 12 kg.,Aguascalientes,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,95,105,100,
29/04/2019,Guayaba,Primera,Caja de 12 kg.,Aguascalientes,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,95,105,100,
22/04/2019,Guayaba,Primera,Kilogramo,Aguascalientes,Chihuahua: Central de Abasto de Chihuahua,17,18,18,
