Fecha,Producto,Calidad,Presentación,Origen,Destino,Precio Mín,Precio Max,Precio Frec,Obs
22/04/2020,Guayaba,Primera,Caja de 12 kg.,Aguascalientes,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,100,110,105,
23/04/2020,Guayaba,Primera,Caja de 12 kg.,Aguascalientes,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,100,110,105,
24/04/2020,Guayaba,Primera,Caja de 12 kg.,Aguascalientes,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,100,110,105,
27/04/2020,Guayaba,Primera,Caja de 12 kg.,Aguascalientes,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,100,110,105,
28/04/2020,Guayaba,Primera,Caja de 12 kg.,Aguascalientes,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,100,110,105,
29/04/2020,Guayaba,Primera,Caja de 12 kg.,Aguascalientes,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,100,110,105,
22/04/2020,Guayaba,Primera,Kilogramo,Aguascalientes,Chihuahua: Central de Abasto de Chihuahua,20,22,21,
23/04/2020,Guayaba,Primera,Kilogramo,Aguascalientes,Chihuahua: Central de Abasto de Chihuahua,20,22,21,
24/04/2020,Guayaba,Primera,Kilogramo,Aguascalientes,Chihuahua: Central de Abasto de Chihuahua,20,22,21,
27/04/2020,Guayaba,Primera,Kilogramo,Aguascalientes,Chihuahua: Central de Abasto de Chihuahua,20,22,21,
28/04/2020,Guayaba,Primera,Kilogramo,Aguascalientes,Chihuahua: Central de Abasto de Chihuahua,21,22,22,
29/04/2020,Guayaba,Primera,Kilogramo,Aguascalientes,Chihuahua: Central de Abasto de Chihuahua,21,22,22,
22/04/2020,Guayaba,Primera,Kilogramo,Aguascalientes,Chihuahua: Mercado de Abasto de Cd. Juárez,18,18,18,
23/04/2020,Guayaba,Primera,Kilogramo,Aguascalientes,Chihuahua: Mercado de Abasto de Cd. Juárez,26,26,26,
24/04/2020,Guayaba,Primera,Kilogramo,Aguascalientes,Chihuahua: Mercado de Abasto de Cd. Juárez,26,26,26,
27/04/2020,Guayaba,Primera,Kilogramo,Aguascalientes,Chihuahua: Mercado de Abasto de Cd. Juárez,26,26,26,
28/04/2020,Guayaba,Primera,Kilogramo,Aguascalientes,Chihuahua: Mercado de Abasto de Cd. Juárez,26,26,26,
29/04/2020,Guayaba,Primera,Kilogramo,Aguascalientes,Chihuahua: Mercado de Abasto de Cd. Juárez,26,26,26,
